,price,address,type,area
482,3395000,150 Central Park South #1606,Co-op,1858
484,1650000,5 Beekman Street #18C,Condo,703
485,899000,416 East 117th #3A,Condo,1227
487,2700000,548 W. 165th Street ,Multi-family,1632
488,22800000,27 East 79th Street #PH,Condo,4346
489,6995000,63 Greene Street #PHC,Condo,2180
490,4430000,515 East 72nd Street #3K,Condo,2800
491,2550000,2 River Terrace #9M,Condo,1449
492,3990000,718 Broadway #8AB,Co-op,2860
493,2895000,1150 Park Avenue #11A,Co-op,1750
494,1600000,5 East 44th Street #18,Condo,1277
495,1985000,200 East 62nd Street #17C,Condo,1145
496,3375000,231 West 26th Street #2,Condo,1867
497,800000,250 West 15th Street #5I,Co-op,700
498,2995000,234 East 23rd Street #14C,Condo,1597
499,1950000,895 Park Avenue #1A,Co-op,1400
502,1275000,35 Park Avenue #18B,Co-op,1367
504,648000,350 West 50th Street #2PP,Condo,407
505,3955000,10 Riverside Boulevard #28D,Condo,1689
507,3445000,2 River Terrace #6L,Condo,2095
508,3295000,345 East 50th Street #PHB,Condo,1597
509,6405000,10 Riverside Boulevard #27B,Condo,2398
510,6385000,90 Lexington Avenue #PHB,Condo,2027
511,1675990,130 William Street #42C,Condo,802
514,3400000,200 Riverside Boulevard #6AB,Condo,2370
516,289000,62 Park Terrace West #15,Co-op,600
517,1949000,301 East 52nd Street #2/1A,Co-op,1816
518,8250000,280 West 25th Street #1,Townhouse,4068
520,4995000,530 East 76th Street 36/37CD,Condo,3000
521,1350000,200 West 108th Street #15A,Co-op,1200
522,1495000,20 Sutton Place South #18C,Co-op,1800
527,7650000,80 Riverside Boulevard #22/23D,Condo,3700
530,4995000,277 Fifth Avenue #33A,Condo,1784
532,26495000,19 East 71st Street #1,Townhouse,10145
533,3790000,101 Warren Street #11L,Condo,2332
535,339000,581 Academy Street #1C,Condo,500
536,1248000,252 South Street #12K,Condo,695
537,1399000,252 South Street #35F,Condo,722
538,1425000,252 South Street #10B,Condo,696
539,1711000,252 South Street #64L,Condo,709
540,1576000,252 South Street #59H,Condo,679
541,1640000,252 South Street #40N,Condo,723
542,1209000,252 South Street #11F,Condo,695
543,3375000,231 West 26th Street #2,Condo,1867
544,800000,250 West 15th Street #5I,Co-op,700
545,2995000,234 East 23rd Street #14C,Condo,1597
547,10995000,151 East 78th Street #4,Condo,3966
548,1950000,895 Park Avenue #1A,Co-op,1400
551,1275000,35 Park Avenue #18B,Co-op,1367
553,648000,350 West 50th Street #2PP,Condo,407
554,3955000,10 Riverside Boulevard #28D,Condo,1689
556,6405000,10 Riverside Boulevard #27B,Condo,2398
557,6385000,90 Lexington Avenue #PHB,Condo,2027
558,1675990,130 William Street #42C,Condo,802
559,2850000,76 Eleventh Avenue #9D,Condo,959
560,4495000,5 Franklin Place #10A,Condo,1831
563,3400000,200 Riverside Boulevard #6AB,Condo,2370
565,289000,62 Park Terrace West #15,Co-op,600
566,1949000,301 East 52nd Street #2/1A,Co-op,1816
567,8250000,280 West 25th Street #1,Townhouse,4068
569,1495000,20 Sutton Place South #18C,Co-op,1800
572,3275000,30 Warren Street #3C,Condo,1665
573,1499000,304 W 115th Street #3A,Condo,1375
574,8250000,280 West 25th Street #1,Townhouse,4068
576,1495000,20 Sutton Place South #18C,Co-op,1800
581,7650000,80 Riverside Boulevard #22/23D,Condo,3700
584,4995000,277 Fifth Avenue #33A,Condo,1784
585,3998000,416 Washington Street #2I,Condo,1912
586,1795000,224 West 18th Street #5B,Condo,1196
588,26495000,19 East 71st Street #1,Townhouse,10145
589,1085000,201 East 79th Street #7B,Co-op,1000
591,675000,55 Wall Street #603,Condo,658
592,1075000,200 East 61st Street #20A,Condo,899
593,2350000,117 West 123rd Street #8B,Condo,1815
595,2435000,15 Broad Street #1414,Condo,2028
596,1575000,200 Rector Place #31B,Condo,945
597,975000,70 West 139th Street #7B,Condo,1005
598,2450000,110 Charlton Street #15C,Condo,1198
