,price,address,type,area
786,2850000,245 Seventh Avenue #2A,Condo,1800
788,875000,250 West 94th Street #2J,Co-op,850
791,8950000,25 Central Park West 11/12JK,Condo,3004
792,858000,88 Greenwich Street #725,Condo,845
793,4900000,655 Park Avenue #4D,Co-op,2350
794,2199000,300 East 59th Street #604/5,Co-op,2000
796,949000,176 Broadway #7D,Co-op,1100
797,5150000,21 Astor Place #10D,Condo,1993
798,580000,340 East 93rd Street #3F,Co-op,700
799,1125000,2109 Broadway #1487,Condo,765
800,3995000,116 Central Park South #3CD,Condo,2000
802,995000,20 West Street #19G,Condo,1018
805,7290000,21 East 66th Street #2EW,Condo,3602
806,2450000,900 Park Avenue #11E,Condo,1288
807,1495000,39 East 29th Street #8C,Condo,785
808,4395000,721 Fifth Avenue #34G,Condo,1509
809,2125000,305 West 16th Street #2H,Condop,978
813,899000,225 Rector Place #4T,Condo,760
816,3495000,21 East 66th Street #3E,Condo,1700
817,3895000,21 East 66th Street #2W,Condo,1903
820,2350000,555 West 59th Street #19F,Condo,1273
825,2000000,555 West 59th Street #21G,Condo,1116
826,4150000,54 MacDougal Street MAISONETTE,Condo,2431
827,750000,220 Riverside Boulevard #7W,Condo,549
828,3095000,59 John Street #PH10C,Condo,2279
832,1850000,301 West 53rd Street #3E,Condo,1039
833,1165000,77 Park Avenue #7G,Condo,800
834,1500000,55 East 87th Street #1AK,Co-op,1600
837,799000,165 East 72nd Street #2G,Co-op,900
838,360000,137-139 West 142nd Street #2E,Co-op,877
839,2300000,37 Murray Street #3B,Condo,1245
842,2395000,444 East 57th Street #9/D,Condo,1600
846,3995000,1212 Fifth Avenue #4A,Condo,2389
847,849900,142 E 16th Street #18D,Co-op,850
850,15100000,377 Rector Place #PHAB,Condo,6392
851,5950000,137 Riverside Drive #3B,Co-op,3940
852,7450000,377 Rector Place #PHB,Condo,3180
853,7650000,377 Rector Place #PHA,Condo,3212
854,995000,301 West 53rd Street #20G,Condo,678
856,8250000,57 Irving Place #4,Condo,2872
857,1945000,250 West 27th Street #6B,Co-op,1516
858,925000,500 West 43rd Street #19H,Condo,679
859,8700000,165 Charles Street #11,Condo,2541
860,2050000,101 West 87th Street #306,Condo,1003
862,5450000,25 Central Park West #16M,Condo,2003
863,2595000,155 West 70th Street #16D,Condo,1306
870,785000,415 East 52nd Street #1CB,Co-op,1035
871,635000,1 Wall Street Court #1407,Condo,418
873,3890000,2109 Broadway #7144,Condo,1805
874,2000000,45 East 25th Street #25B,Condo,1100
875,1799000,45 West 67th Street #8C,Condo,1014
876,11500000,232 West 15th Street ,Multi-family,5000
877,3000000,200 West End Avenue #19A,Condo,1486
879,1160000,145 East 48th Street #12D,Condo,750
881,2500000,40 East 61st Street #14B,Condo,1214
882,1335000,200 West End Avenue #9B,Condo,788
883,5350000,200 East 62nd Street #27E,Condo,2536
884,3495000,150 W 56th #6101,Condo,1588
885,14200000,65 West 13th Street #6AB,Condo,5800
888,2999000,63 Greene Street #2E,Condo,1446
890,1300000,123 Washington Street #47A,Condo,802
892,1475000,235 East 40th Street #15A,Condo,1094
893,1815000,15 William Street #41I,Condo,1273
895,2150000,790 Riverside Drive #11RS,Co-op,2000
897,2245000,102 West 118th Street #GARDEN,Condo,2108
898,14900000,515 Park Avenue #12AB,Condo,5000
899,619000,350 West 50 #4ZL,Condo,422
900,635000,425 Central Park West #5E,Condo,550
902,1125000,236 East 47th Street #11C,Condo,912
904,1209375,171 Henry Street #4D,Condo,1075
905,975025,171 Henry Street #2C,Condo,907
906,793500,171 Henry Street #4A,Condo,690
907,855000,171 Henry Street #2B,Condo,684
908,1645000,685 First Avenue #31C,Condo,760
910,524999,5 Tudor City Place #704,Co-op,560
911,20000000,160 Leroy Street NORTH12B,Condo,4557
915,5995000,580 West End Avenue #4,Co-op,3000
917,765000,2134 Second Avenue #6B,Condo,1027
918,1899000,175 West 12th Street #19B,Condo,989
919,5495000,2211 Broadway #4G,Condo,1890
921,3900000,205 West 76th Street #7F,Condo,1570
922,1375000,929 Park Avenue #10B,Co-op,1000
923,3800000,49 Chambers Street #7D,Condo,2256
926,1900000,100 West 18th Street #5B,Condo,1058
928,835000,120 West 58th Street #7C,Condo,700
929,999999,1270 Fifth Avenue #9L,Co-op,1000
933,695000,100 West 93rd Street #28D,Condo,493
937,2250000,13 East 16th Street #8R,Condo,1318
938,1100000,150 West 55th Street #7C,Co-op,1200
939,2995000,29 West 19th Street #4,Condo,1816
941,5585000,180 East 88th Street #11B,Condo,2082
943,5150000,225 Fifth Avenue #9M,Condo,1591
944,625000,393 West 49th Street #4OO,Condo,402
945,1125000,255 Hudson Street #3F,Condo,776
946,4250000,125 East 74th Street #8/9A,Co-op,2300
947,689000,350 East 30th Street #5C,Condo,631
