,price,address,type,area
422,2049.1803278688526,60 Riverside Boulevard #1110,2,732
423,1304.654442877292,1 Central Park West #316,2,709
424,1502.7322404371585,123 Washington Street #42D,2,732
425,1096.551724137931,89172800,2,725
426,1681.7796610169491,132289600,2,708
427,854.5454545454545,45 Sutton Place South #17G,1,1100
428,207.69230769230768,424 E 115th Street #4D,1,650
429,250.0,424 E 115th Street #4A,1,500
430,214.28571428571428,424 E 115th Street #1A,1,700
431,1992.2480620155038,14 Harrison Street #56,1,4515
432,2231.6666666666665,273625600,2,3000
433,2088.850174216028,100 Barclay Street #23B,2,2870
434,1196.1722488038276,100705600,2,627
435,2151.877358490566,130 William Street #32C,2,1060
436,1464.2857142857142,865134400,2,700
437,1670.4631738800304,85544000,2,1317
438,1868.9710610932475,57 Reade Street #15A,2,1244
439,2092.990784697012,471 Washington Street #5,2,3581
440,2146.422628951747,2112 Broadway #6B,2,3005
441,1399.1596638655462,385 First Avenue #7B,2,1190
442,996.6666666666666,832000,1,1500
443,1172.465960665658,380 Rector Place #6E,2,661
444,2469.135802469136,172 Madison Avenue #24A,2,1458
445,2263.779527559055,1 Central Park West #808,2,1016
446,1899.4708994708994,25 Central Park West #7C,2,945
447,1819.7190426638917,11 Beach Street #3A,2,3844
448,1518.560179977503,1600 Broadway #PH6A,2,889
449,1923.076923076923,100 Barclay Street #12F,2,2028
450,309.09090909090907,205068800,1,1100
451,421.1267605633803,684467200,1,710
452,904.2105263157895,147686400,1,950
453,1050.3388189738625,32993600,3,1033
454,2092.990784697012,471 Washington Street #5,2,3581
455,2908.1295439524124,50 West Street #49B,2,1513
456,1483.050847457627,9 Murray Street #9NE,2,2478
457,950.3448275862069,27822400,1,725
458,765.3348339898706,531 Main Street #502,1,1777
459,2803.7383177570096,252 Seventh Avenue #16G,2,1605
460,794.6210268948655,807 Riverside Drive #6A,2,818
461,3884.7150259067357,684635200,2,3860
462,1034.7826086956522,110470400,1,575
463,1738.6363636363637,718 Broadway #8B,1,1320
464,2077.546296296296,150 Rivington Street #5H,2,864
465,2093.9734422880492,16230400,2,979
466,1350.0,1150 Park Avenue #6F,1,1700
467,1276.923076923077,154753600,2,975
468,1603.9051603905161,1 Central Park West #914,2,717
469,1559.80271270037,79750400,1,2433
470,1516.8539325842696,36000000,2,890
471,2074.468085106383,1115 Fifth Avenue #7A,1,2820
472,554.4444444444445,115 Cabrini Boulevard #22B,1,900
473,1102.9411764705883,1485 Fifth Avenue #8H,2,884
474,1029.8953662182362,93574400,2,669
475,1306.6825775656325,576640000,2,838
476,1946.72131147541,570 Broome Street #11C,2,732
477,1269.3156732891832,77600000,2,906
478,1798.5611510791366,103726400,2,1807
479,2552.285050348567,1 Central Park West #33F,2,1291
480,4316.831683168317,20 W 53 #36A,2,2525
481,1500.0,576640000,2,390
482,1665.4761904761904,290 West End Avenue #7CD,1,4200
483,1363.6363636363637,141 Wooster Street #5CD,1,3300
484,2426.470588235294,25 Barrow Street ,House,3400
485,1495.8333333333333,73576000,1,1200
486,1790.2808184143223,111 Central Park North #9AA,2,1955
487,2828.902522154056,96928000,2,1467
488,1500.0,2109 Broadway #850,2,450
489,664.1414141414141,514726400,2,1188
490,2404.543257612373,22796800,6,4138
491,1704.8977061376318,225 Fifth Avenue #6A,2,1613
492,1498.75,865134400,2,800
493,1437.5,20441600,1,2400
494,1310.9756097560976,88 Greenwich Street #2010,2,820
495,980.0,665953600,1,2750
496,1294.2271880819367,148947200,2,537
497,1375.7018887187342,145275200,2,1959
498,1868.9138576779026,190 Riverside Drive #10C,2,2670
499,1702.8731604765242,2 River Terrace #4D,2,1427
500,1981.1632518175809,2 River Terrace #24A,2,3026
501,1214.6666666666667,14715200,1,1500
502,1777.448071216617,115 Fourth Avenue #PH8C,2,1685
503,1851.851851851852,245 10th Avenue UNIT-4W,2,2349
504,2101.7274472168906,685 First Avenue #32L,2,1042
505,2780.64280980782,130 William Street #L57B,2,1509
506,1409.4202898550725,79750400,2,1380
507,2156.5821749795587,100 Barclay Street #15B,2,2446
508,1677.8684589534325,455 Central Park West #22A,2,2083
509,2375.0,95 Greene Street #5E,2,1200
510,968.9621726479146,230132800,2,1031
511,1140.4761904761904,3 Hanover Square #20FG,1,2100
512,5466.472303206997,105780800,2,4116
513,1250.0,84281600,1,600
514,7125.154894671623,105780800,2,3228
515,1188.0515953835709,97300800,3,1473
516,1086.3636363636363,168064000,1,1100
517,1038.0,96654400,1,2500
518,791.6666666666666,154856000,1,600
519,907.2727272727273,145883200,1,550
520,1287.0514820592823,325 Fifth Avenue #9C,2,1282
521,1505.8479532163742,65 Cooper Square #3E,2,684
522,1409.090909090909,24294400,2,638
523,1062.5,1160 Third Avenue #3C,1,400
524,1622.6912928759893,865134400,2,758
525,1750.0,11680000,3,1000
526,1389.4039735099338,555 W. 23 #S6D,2,755
527,1425.78125,41 W 72nd Street #7H,2,768
528,2519.4805194805194,196 Orchard Street #10A,2,1925
529,3032.0531331215707,555 West End Avenue THE-LIBRARY,2,3463
530,901.8987341772151,2 South End Avenue #8F,2,632
531,745.7943925233645,17849600,1,535
532,2024.9077490774907,130 Barrow Street #PH14,2,1084
533,1583.3333333333333,245 Seventh Avenue #2A,2,1800
534,1029.4117647058824,206758400,1,850
535,2979.3608521970705,25 Central Park West 11/12JK,2,3004
536,1015.3846153846154,88 Greenwich Street #725,2,845
537,2085.1063829787236,655 Park Avenue #4D,1,2350
538,1099.5,64230400,1,2000
539,862.7272727272727,176 Broadway #7D,1,1100
540,2584.044154540893,21 Astor Place #10D,2,1993
541,828.5714285714286,102400000,1,700
542,1470.5882352941176,2109 Broadway #1487,2,765
543,1997.5,116 Central Park South #3CD,2,2000
544,977.4066797642436,20 West Street #19G,2,1018
545,2023.8756246529706,11067200,2,3602
546,1902.1739130434783,900 Park Avenue #11E,2,1288
